ID,Name,Description,Created,Updated,Link
fg8z-fzm6,CPS 4.5 Adoptions Consummated by County FY2015-2024,"This chart counts children who exited DFPS custody to adoption during the fiscal year. To be adopted, a court must have terminated parental rights, the child must have lived with the adoptive family for at least 6 months, the family must have been approved for adoption through a licensed child placing agency and a court must have ordered legal custody to the adoptive parents. Visit dfps.state.tx.us for information on all DFPS programs",2017-01-29T23:10:09.000Z,2025-02-04T21:51:29.000Z,https://data.texas.gov/dataset/CPS-4-5-Adoptions-Consummated-by-County-FY2015-202/fg8z-fzm6
d57d-zxw6,Expenditure Category Numbers and Titles,This lists the broad categories of expenditure by 2-digit code and corresponding title. Expenditure Comptroller Objects are consolidated under these categories for presentation on Where-the-Money-Goes and the Texas Cash Report.,2018-11-30T18:30:15.000Z,2020-06-26T23:48:43.000Z,https://data.texas.gov/Government-and-Taxes/Expenditure-Category-Numbers-and-Titles/d57d-zxw6
gp4s-vej8,DIR STS Enterprise Invoices,DIR Shared Technology Services STS and Texas.gov Vendor Invoices,2023-03-20T15:17:09.000Z,2025-02-21T17:36:51.000Z,https://data.texas.gov/dataset/DIR-STS-Enterprise-Invoices/gp4s-vej8
7au4-j7bg,Professional Medical Billing Services (SV1) Detail Information - Historical,"The Texas Department of Insurance, Division of Workers Compensation DWC maintains a database of professional medical billing services SV1. It contains charges, payments, and treatments billed on a CMS-1500 form by doctors and other health care professionals who treat injured employees, including ambulatory surgical centers, with dates of service more than five years old going back to 2010. For datasets from the past five years, see professional medical billing services SV1 detail information. The detail contains information to identify insurance carriers, injured employees, employers, place of service, and diagnostic information. The bill details are individual line items that are grouped in the header section of a single bill. The bill selection date and bill ID must be used to group individual line items into a single bill. Find more information in our professional medical billing services SV1 detail data dictionary. See professional medical billing services SV1 header information  historical for the corresponding header records related to this dataset. Go to our page on DWC medical state reporting public use data file PUDF to learn more about using this information.",2021-10-19T12:04:49.000Z,2024-06-07T15:06:01.000Z,https://data.texas.gov/dataset/Professional-Medical-Billing-Services-SV1-Detail-I/7au4-j7bg
gern-2bvs,Comptroller Object Numbers and Titles,"This file comprises the list of all objects of expenditure and objects of revenue. These 4-digit codes identify specific operating statement ledger items. Objects in the 3000 series are generally revenues, while objects in the 7000 series are generally expenditures.",2018-11-29T14:46:31.000Z,2020-06-26T23:47:02.000Z,https://data.texas.gov/Government-and-Taxes/Comptroller-Object-Numbers-and-Titles/gern-2bvs
djkj-euda,Local Debt Bond Election Results,"This data set contains election data for local government Issuers, including cities, community college districts, counties, hospital districts, independent school districts, other special districts and water districts. The election information includes bond amount, bond purpose, proposition number, election votes and election results.",2017-10-19T21:26:28.000Z,2020-06-26T23:46:01.000Z,https://data.texas.gov/Government-and-Taxes/Local-Debt-Bond-Election-Results/djkj-euda
6dqt-e958,Collin CAD Appraisal Data - 2024,2024 Certified Appraisal Data with monthly supplemental updates,2024-10-01T19:34:25.000Z,2025-02-22T10:25:20.000Z,https://data.texas.gov/dataset/Collin-CAD-Appraisal-Data-2024/6dqt-e958
nne4-8riu,Collin CAD Appraisal Data - Preliminary,Current Year Preliminary Appraisal Data,2024-10-03T20:50:39.000Z,2025-02-24T10:54:04.000Z,https://data.texas.gov/dataset/Collin-CAD-Appraisal-Data-Preliminary/nne4-8riu
pedx-fc9i,DFPS Employees 1.5 Average Monthly Salaries by Selected  Program and Staff Type FY2015-2024,"The average monthly salary for active Child Protective staff as of the last day of the fiscal year by staff type. The county and region of the employees are determined by the office to which they are assigned. More information at www.dfps.texas.gov NOTE Child Protective Investigations CPI, Child Care Investigations CCI, and Child Protective Services CPS Staff are all included. Child Care Investigations CCI, which is a part of CPI and include Day Care Investigations DCI and Residential Child Care Investigations RCCI are only available from 2018 onward. This is due to the split of those job functions from Child Care Licensing, which was a part of DFPS until 2017, when it was transferred to the Health and Human Services Commission HHSC. This addresses Texas Human Resource Code Section 40.051611.",2021-03-16T14:23:35.000Z,2025-02-04T22:33:51.000Z,https://data.texas.gov/dataset/DFPS-Employees-1-5-Average-Monthly-Salaries-by-Sel/pedx-fc9i
3uzy-75wk,Debt Outstanding by Local Government ISD,"This data set contains debt outstanding independent school districts. Not included are obligations of less than one-year maturity and special obligations not requiring Attorney General Approval. Excludes commercial paper and Build America Bond subsidies. Data includes tax rate, taxable values, pledge, population, ADA, total principal, total interest and total debt service.",2017-10-19T20:36:22.000Z,2020-06-26T23:44:55.000Z,https://data.texas.gov/Government-and-Taxes/Debt-Outstanding-by-Local-Government-ISD/3uzy-75wk
vafe-2xdg,2019 SRWDBTSSBF Post Award Summary,2019 SRWDBTSSBF Post Award Summary,2019-05-09T12:34:03.000Z,2021-08-18T16:24:51.000Z,https://data.texas.gov/Business-and-Economy/2019-SRWDBTSSBF-Post-Award-Summary/vafe-2xdg
8inx-pgff,Child and Adult Care Food Programs (CACFP) – Adult Day Care – Meal Reimbursement – Program Year 2021-2022,"Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program CACFP Data About the Dataset This data set contains claims information for meal reimbursement for CACFP participating as Adult Day Care centers for program year 2021-2022. The CACFP program year begins October 1 and ends September 30. In March 2020, USDA began allowing flexibility in nutrition assistance program policy to support continued meal access should the coronavirus pandemic COVID-19 impact meal service operation. Sites participating in these flexibilities are indicated in the newly added COVID Meal Site column of this dataset. For more information on the waivers implemented for this purpose, please visit our website at SquareMeals.org. This dataset only includes claims submitted by CACFP sites participating as Adult Day Care centers. Sites can participate in multiple CACFP sub-programs. For reimbursement data on CACFP participants operating as Day Care Homes, Child Care Centers, At-Risk Child Care Centers, Head Start Centers, emergency shelters, or centers providing care for students outside school hours, please refer to the corresponding Child and Adult Care Food Programs CACFP  Meal Reimbursement dataset for that sub-program available on the State of Texas Open Data Portal. An overview of all CACFP data available on the Texas Open Data Portal can be found at our TDA Data Overview - Child and Adult Care Food Programs page. An overview of all TDA Food and Nutrition data available on the Texas Open Data Portal can be found at our TDA Data Overview - Food and Nutrition Open Data page. More information about accessing and working with TDA data on the Texas Open Data Portal can be found on the SquareMeals.org website on the TDA Food and Nutrition Open Data page. About Dataset Updates TDA aims to post new program year data by December 15 of the active program year. Participants have 60 days to file monthly reimbursement claims. Dataset updates will occur monthly until 90 days after the close of the program year. After 90 days from the close of the program year, the dataset will be updated at six months and one year from the close of program year before becoming archived. Archived datasets will remain published but will not be updated. Any data posted during the active program year is subject to change. About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs, the Child and Adult Care Food Program CACFP, and summer meal programs. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles. For more information on these programs, please visit our website.",2021-10-26T14:56:19.000Z,2023-05-09T15:04:48.000Z,https://data.texas.gov/dataset/Child-and-Adult-Care-Food-Programs-CACFP-Adult-Day/8inx-pgff
wtxf-dfwc,CPS 6.2 Average Monthly Unique Children/Young Adults in Paid Foster Care FY2015-2024,Average monthly count of unduplicated children in paid foster care per month by fiscal year. This dataset counts unique children regardless of payment types during the month. Calculations exclude children and young adults where cost of care was not covered by Title IV-E or state paid foster care. A young adult is any person in foster care who was 18 to 21 years of age at anytime during the fiscal year. Some children are served in more than one eligibility type in a month.,2020-04-14T20:51:10.000Z,2025-01-29T22:10:21.000Z,https://data.texas.gov/dataset/CPS-6-2-Average-Monthly-Unique-Children-Young-Adul/wtxf-dfwc
bqzp-hhfz,2022 SSP - Goal 4: Proactive Approach to Emerging Technologies,The plan identifies technology goals for state government over the next five years and guides agencies as they develop their agency strategic plans. Goal 4 Proactive Approach to Emerging Technologies,2021-10-29T16:45:54.000Z,2021-10-29T21:04:27.117Z,https://data.texas.gov/stories/s/bqzp-hhfz
jfuq-9pnk,CCI 4.3 Residential Child Care Investigations (RCCI) Types of Abuse Region FY2015-2024,"ABOUT THIS CHART This chart includes data on abuseneglect allegations in a fiscal year by allegation type, disposition, and the type of operation in which the allegation originated. 1. Abuseneglect investigations can contain multiple allegations, each with their own disposition. 2. Agency Homes are excluded from these counts. They were included in some past printed Data Books. 3. This dashboard addresses Texas Family Code Section 264.017.b13 and Texas Human Resources Code Section 40.05161B.",2019-08-30T20:32:09.000Z,2025-01-29T21:00:31.000Z,https://data.texas.gov/dataset/CCI-4-3-Residential-Child-Care-Investigations-RCCI/jfuq-9pnk
tyn5-awvy,Summer Meal Programs - Summer Food Service Program (SFSP) - Meal Count Information - Program Period 2019,"Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data About the Dataset This dataset contains claimed meals served by meal sites participating in the Summer Food Service Program SFSP for summer 2019 SNP program year 2018-2019. Summer meal programs operate mid-May through the end of August. This dataset contains site-level claimed meal counts. Reimbursement data is collected at the sponsor level and is reported in the Summer Meal Programs  Summer Food Service Program SFSP  Meal Reimbursements dataset for the program year. Dataset change as of October 4, 2019 Meal Average Daily Participation ADP will no longer be included as part of this dataset. Second meals served results in variety in which ADP can be calculated. The end-user can now determine the method of calculating ADP as per their need. For data on sites participating in the Seamless Summer Option SSO, please refer to the Summer Meal Programs  Seamless Summer Option  Meal Counts and Meal Reimbursement datasets available on the State of Texas Open Data Portal. An overview of all Summer Meal Program data available on the Texas Open Data Portal can be found at our TDA Data Overview - Summer Meals Programs page. An overview of all TDA Food and Nutrition data available on the Texas Open Data Portal can be found at our TDA Data Overview - Food and Nutrition Open Data page. About Dataset Updates TDA aims to post new program year data by July 15 of the active program period. Participants have 60 days to file monthly claims. Dataset updates will occur monthly until 90 days after the close of the program period. After 90 days from the close of the program period, the dataset will be updated at six months and one year from the close of program period before becoming archived. Archived datasets will remain published but will not be updated. Any data posted during the active program year is subject to change. About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs, the Child and Adult Care Food Programs CACFP, and summer meal programs. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles. For more information on these programs, please visit our website. A detailed list of TDA Food and Nutrition datasets and data fields available on the Texas Open Data Portal can be downloaded as a PDF here.",2019-07-09T20:25:48.000Z,2021-10-22T13:33:36.000Z,https://data.texas.gov/dataset/Summer-Meal-Programs-Summer-Food-Service-Program-S/tyn5-awvy
x5jv-nafa,Texas Department of Criminal Justice Receives FY 2020,All inmate receives into the TDCJ for FY 2020,2022-02-14T18:13:06.000Z,2022-05-02T19:26:45.000Z,https://data.texas.gov/dataset/Texas-Department-of-Criminal-Justice-Receives-FY-2/x5jv-nafa
fyvz-udp2,School Nutrition Programs – Contact Information and Site-Level Program Participation – Program Year 2017-2018,"About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs and the Child and Adult Care Food Program CACFP. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles. For more information on these programs, please visit our website. About the Dataset This dataset contains contact information and program participation information for each site participating in school nutrition programs during program year 2017-2018. The school nutrition program year begins July 1 and ends June 30. About Dataset Updates TDA aims to post new program year data by September 1 of the active program year. Updates will occur quarterly and end 90 days after the close of the program year. Any data posted during the active program year is subject to change. After 90 days from the close of the program year, this dataset will remain published but will no longer be updated.",2018-12-03T17:19:19.000Z,2023-08-16T19:50:52.000Z,https://data.texas.gov/dataset/School-Nutrition-Programs-Contact-Information-and-/fyvz-udp2
mxqn-36ks,TxRC 2016 Daily Purses Paid,2016 Daily purses paid by Texas pari-mutuel racetracks as reported to TxRC. All figures are based on information available to TxRC at the time the data was compiled and are subject to being audited and revised.,2018-06-21T23:41:48.000Z,2022-02-24T21:06:03.000Z,https://data.texas.gov/Business-and-Economy/TxRC-2016-Daily-Purses-Paid/mxqn-36ks
sufq-rnri,2018 SRWDBTSSBF Post Award Summary,,2018-02-12T21:25:07.000Z,2021-08-18T16:15:43.000Z,https://data.texas.gov/Government-and-Taxes/2018-SRWDBTSSBF-Post-Award-Summary/sufq-rnri
58va-q8t3,CPS 2.5 Legal Statuses Granted with County and Region FY2015- 2024,"This chart counts the different legal statuses granted during the fiscal year for children in DFPS custody. Children in DFPS custody are those for whom a court has appointed DFPS legal responsibility through temporary or permanent managing conservatorship or other court ordered legal basis. This chart includes any child in DFPS custody at some point during the year. Children may be duplicated in the count, if they were in and out of DFPS custody more than once during the fiscal year. A description of the different types of legal statuses is in the CPS glossary httpswww.dfps.texas.govAbout_DFPSData_BookChild_Protective_ServicesResourcesglossary.asp Visit dfps.texas.gov for information on all DFPS programs",2017-03-13T18:27:54.000Z,2025-01-30T20:16:06.000Z,https://data.texas.gov/dataset/CPS-2-5-Legal-Statuses-Granted-with-County-and-Reg/58va-q8t3
ukwa-5q8d,Child and Adult Care Food Programs (CACFP) – Adult Day Care Centers – Meal Reimbursement – Program Year 2020-2021,"Help us provide the most useful data by completing our ODP User Feedback Survey for Child and Adult Care Food Program CACFP Data About the Dataset This data set contains claims information for meal reimbursement for sites participating as Child Care Centers in CACFP for program year 2020-2021. The CACFP program year begins October 1 and ends September 30. In March 2020, USDA began allowing flexibility in nutrition assistance program policy to support continued meal access should the coronavirus pandemic COVID-19 impact meal service operation. For more information on the waivers implemented for this purpose, please visit our website at SquareMeals.org. This dataset only includes claims submitted by CACFP sites operating as Child Care Centers. Sites can participate in multiple CACFP sub-programs. For reimbursement data on CACFP participants operating as Day Care Homes, Adult Day Care Centers, At-Risk Child Care centers, Head Start centers, emergency shelters, or centers providing care for students outside school hours, please refer to the corresponding Child and Adult Care Food Programs CACFP  Meal Reimbursement dataset for that sub-program available on the State of Texas Open Data Portal. An overview of all CACFP data available on the Texas Open Data Portal can be found at our TDA Data Overview - Child and Adult Care Food Programs page. An overview of all TDA Food and Nutrition data available on the Texas Open Data Portal can be found at our TDA Data Overview - Food and Nutrition Open Data page. More information about accessing and working with TDA data on the Texas Open Data Portal can be found on the SquareMeals.org website on the TDA Food and Nutrition Open Data page. About Dataset Updates TDA aims to post new program year data by December 15 of the active program year. Participants have 60 days to file monthly reimbursement claims. Dataset updates will occur monthly until 90 days after the close of the program year. After 90 days from the close of the program year, the dataset will be updated at six months and one year from the close of program year before becoming archived. Archived datasets will remain published but will not be updated. Any data posted during the active program year is subject to change. About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs, the Child and Adult Care Food Programs CACFP, and the summer meal programs. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles. For more information on these programs, please visit our website.",2020-11-24T14:38:02.000Z,2023-05-09T14:55:29.000Z,https://data.texas.gov/dataset/Child-and-Adult-Care-Food-Programs-CACFP-Adult-Day/ukwa-5q8d
64d7-b9ik,CPS 6.5 Purchased Services - Permanency Care Assistance by Funding Source FY2015-2024,"For children who cannot reunify and for whom adoption has been ruled out, the Permanency Care Assistance PCA Program provides a monthly subsidy to relatives and fictive kin that take legal custody as a permanent managing conservator and have been a verified foster care provider for the child for at least 6 months. The PCA subsidy is similar to an adoption subsidy. Does not include non-recurring payments. Note The Permanency Care Assistance program began in Fiscal Year 2011.",2017-01-29T22:30:43.000Z,2025-01-29T22:17:27.000Z,https://data.texas.gov/dataset/CPS-6-5-Purchased-Services-Permanency-Care-Assista/64d7-b9ik
2hki-6gbm,CPS 1.3 FBSS - Children Entering Family Preservation Services with Race/Ethnicity FY2015-2024,Family Preservation Services FPR are services provided to the child and the family where the caregiver retains legal custody. Counts children entering Family Based Safety Services Family Preservation Stages during the fiscal year. NOTE Family Preservation Services is under the umbrella of Family Based Safety Services FBSS.,2018-04-24T19:59:21.000Z,2025-01-30T18:15:57.000Z,https://data.texas.gov/dataset/CPS-1-3-FBSS-Children-Entering-Family-Preservation/2hki-6gbm
9757-dc87,APS 3.3 Investigations: Findings of Abuse By County FY2015-2024,"ABOUT THIS CHART Allegation Disposition Findings Codes Valid. Based on the standard of preponderance of the evidence, it is more likely than not that the maltreatment occurred. Invalid. Based on the standard of preponderance of the evidence, it is more likely than not that the maltreatment did not occur. Unable to Determine. A preponderance of the available evidence is insufficient to support a finding of Valid or Invalid. Other. The allegation disposition Other is used when an investigation of the allegation was not completed for some reason, e.g. clients died or cases were misclassified. 1. Family Violence is indicated when a validated investigation has a relative perpetrator, excluding those where financial exploitation is the only confirmed allegation. 2. Beginning in Fiscal Year 2015, services provided during the investigation are documented in the investigation stage and not in a separate service stage. 3. The Other Disposition category refers to those investigations that workers could not complete, e.g. clients died or cases were misclassified. 4. The population totals do not match prior DFPS Data Books, printed or online. Past population estimates are adjusted based on the U.S. Census data as it becomes available. This is important to keep the data in line with current best practices, but will cause some past counts, such as AbuseNeglect Victims per 1,000 Texas Children, to be recalculated. Population Data Source - Population Estimates and Projections Program, Texas State Data Center, Office of the State Demographer and the Institute for Demographic and Socioeconomic Research, The University of Texas at San Antonio. Current population estimates and projections for all years from 2014 to 2023 as of December 2023. Visit dfps.state.tx.us for information on all DFPS programs.",2018-09-04T19:36:48.000Z,2025-01-29T19:17:18.000Z,https://data.texas.gov/dataset/APS-3-3-Investigations-Findings-of-Abuse-By-County/9757-dc87
qhh3-ayzz,Food Distribution Program (FDP) Entitlements - School Nutrition Programs - Program Year 2022-2023,"Help us provide the most useful data by completing our ODP User Feedback Survey for School Nutrition Data About the Dataset This dataset contains USDA Foods entitlement data for Contracting Entities CE approved to operate school nutrition programs for program year 2022-2023. USDA Foods entitlements are funds provided by the state to Texas schools for use on USDA Foods commodities. School nutrition programs operate July 1 through the June 30. About Dataset Updates TDA aims to post new program year data by October 1 of the active program year and update this dataset at least monthly until the close of the program year. An overview of all TDA Food and Nutrition data available on the Texas Open Data Portal can be found at our TDA Data Overview - Food and Nutrition Open Data page. More information about accessing and working with TDA data on the Texas Open Data Portal can be found on the SquareMeals.org website on the TDA Food and Nutrition Open Data page. About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs, the Child and Adult Care Food Programs CACFP, and the summer meal programs. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles.",2022-06-29T12:52:59.000Z,2023-07-25T20:23:47.000Z,https://data.texas.gov/dataset/Food-Distribution-Program-FDP-Entitlements-School-/qhh3-ayzz
skk3-4frt,Summer Meal Programs - Seamless Summer Option (SSO) - Contacts and Program Participation - Program Year 2021-2022,"Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data About the Dataset In March 2020, USDA began allowing flexibility in nutrition assistance program policies in order to support continued meal access should the coronavirus pandemic COVID-19 impact meal service operation. Flexibilities were extended into the 2021-2022 program year and allowed School Nutrition Programs to operate Seamless Summer Option through the 2021-2022 school year. The Seamless Summer Option is available to Program Year 2021-2022 School Nutrition Program CEs beginning October 1, 2021 through the end of the school year. For 2021 Seamless Summer Option participation prior to October 1, please refer to the Summer Meals Programs-All Summer Sites-Contacts and Program Participation Information-Program Period 2021. A CE must have an approved School Nutrition Program application on file for the the program year for a CE to operate Seamless Summer Option. Therefore, CEs and sites listed in this Seamless Summer Option dataset may be providing meals under the School Nutrition Program. Please use School Nutrition Program and Seamless Summer Option claims data to determine which program a CE has selected to provide meals. For more information on the policies implemented for this purpose, please visit our website at SquareMeals.org. An overview of all TDA Food and Nutrition data available on the Texas Open Data Portal can be found at our TDA Data Overview - Food and Nutrition Open Data page. More information about accessing and working with TDA data on the Texas Open Data Portal can be found on the SquareMeals.org website on the TDA Food and Nutrition Open Data page. About Dataset Updates TDA aims to post new program year data by September 1 of the active program year. Updates will occur quarterly and end 90 days after the close of the program year. Any data posted during the active program year is subject to change. After 90 days from the close of the program year, this dataset will remain published but will no longer be updated. About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs, the Child and Adult Care Food Program CACFP, and summer meal programs. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles. For more information on these programs, please visit us at SquareMeals.org.",2021-09-27T20:23:35.000Z,2023-04-18T13:01:00.000Z,https://data.texas.gov/dataset/Summer-Meal-Programs-Seamless-Summer-Option-SSO-Co/skk3-4frt
44ic-7ps3,CPS 1.8 FBSS - Families Receiving Family Preservation Services on August 31 FY2015-2024,"Family Preservation Services are services provided to the child and the family where the caregiver retains legal custody. This provides a snapshot of how many families were open to services on the final day of the fiscal year. If a family had two family preservation stages open on August 31, they are counted twice. NOTE Family Preservation Services is under the umbrella of Family Based Safety Services FBSS.",2018-04-24T21:18:34.000Z,2025-01-30T18:50:40.000Z,https://data.texas.gov/dataset/CPS-1-8-FBSS-Families-Receiving-Family-Preservatio/44ic-7ps3
r8gw-h8cs,Texas East Region Original Land Survey Polygons,A survey is a measurement for a parcel of land. Original surveys were performed as part of the patenting process where land was transferred from the public domain. The original patented surveys are recorded at the Texas General Land Office. The construction and placement of these survey polygons are not to be used to define or establish survey boundaries. These survey polygons are provided as a public service for informational purposes only.,2022-07-29T18:10:24.000Z,2025-02-18T23:11:57.000Z,https://data.texas.gov/dataset/Texas-East-Region-Original-Land-Survey-Polygons/r8gw-h8cs
sxt7-uuaj,2021 SRWDBTSSBF Post Award Summary,,2021-03-09T20:15:21.000Z,2021-06-30T13:44:21.000Z,https://data.texas.gov/dataset/2021-SRWDBTSSBF-Post-Award-Summary/sxt7-uuaj
y33n-5dbv,New Active Locations - Previous 12 Months / by City,"This file includes all sales tax outlets, and local tax responsibility, in Texas which have been active during the last four years. Inactive outlets will include an Out-of-Business date.",2019-11-08T17:37:34.000Z,2025-02-24T16:52:49.000Z,https://data.texas.gov/Government-and-Taxes/New-Active-Locations-Previous-12-Months-by-City/y33n-5dbv
x242-z4ve,Summer Meal Programs - Summer Food Service Program (SFSP) - Meal Count Information - Program Period 2020,"Help us provide the most useful data by completing our ODP User Feedback Survey for Summer Meal Programs Data About the Dataset This dataset contains claimed meals served by sites participating in the Summer Food Service Program SFSP for summer 2020 SNP program year 2019-2020. Summer meal programs operate mid-May through the end of August. In March 2020, USDA began allowing flexibility in nutrition assistance program policies in order to support continued meal access should the coronavirus pandemic COVID-19 impact meal service operation. This included early operation of the Summer Food Service Program SFSP and Seamless Summer Option SSO. Sites participating in these flexibilities are indicated in the newly added COVID Meal Site column of this dataset. For more information on the waivers implemented for this purpose, please visit our website at SquareMeals.org. This dataset contains site-level claimed meal counts. Reimbursement data is collected at the sponsor level and is reported in the Summer Meal Programs  Summer Food Service Program SFSP  Meal Reimbursements dataset for the program year. Dataset change as of October 4, 2019 Meal Average Daily Participation ADP will no longer be included as part of this dataset. Second meals served results in variety in which ADP can be calculated. The end-user can now determine the method of calculating ADP as per their need. For data on sites participating in the Seamless Summer Option SSO, please refer to the Summer Meal Programs  Seamless Summer Option  Meal Counts and Meal Reimbursement datasets available on the State of Texas Open Data Portal. An overview of all Summer Meal Program data available on the Texas Open Data Portal can be found at our TDA Data Overview - Summer Meals Programs page. An overview of all TDA Food and Nutrition data available on the Texas Open Data Portal can be found at our TDA Data Overview - Food and Nutrition Open Data page. About Dataset Updates TDA aims to post new program year data by July 15 of the active program period. Participants have 60 days to file monthly claims. Dataset updates will occur monthly until 90 days after the close of the program period. After 90 days from the close of the program period, the dataset will be updated at six months and one year from the close of program period before becoming archived. Archived datasets will remain published but will not be updated. Any data posted during the active program year is subject to change. About the Agency The Texas Department of Agriculture administers 12 U.S. Department of Agriculture nutrition programs in Texas including the National School Lunch and School Breakfast Programs, the Child and Adult Care Food Programs CACFP, and summer meal programs. TDAs Food and Nutrition division provides technical assistance and training resources to partners operating the programs and oversees the USDA reimbursements they receive to cover part of the cost associated with serving food in their facilities. By working to ensure these partners serve nutritious meals and snacks, the division adheres to its mission  Feeding the Hungry and Promoting Healthy Lifestyles. For more information on these programs, please visit our website. A detailed list of TDA Food and Nutrition datasets and data fields available on the Texas Open Data Portal can be downloaded as a PDF a hrefhttpwww.squaremeals.orgPortals8f",2020-06-12T20:02:46.000Z,2023-05-16T16:56:43.000Z,https://data.texas.gov/dataset/Summer-Meal-Programs-Summer-Food-Service-Program-S/x242-z4ve
ugt2-g8xm,Texas South Region Original Land Survey Polygons,A survey is a measurement for a parcel of land. Original surveys were performed as part of the patenting process where land was transferred from the public domain. The original patented surveys are recorded at the Texas General Land Office. The construction and placement of these survey polygons are not to be used to define or establish survey boundaries. These survey polygons are provided as a public service for informational purposes only.,2022-07-29T19:38:07.000Z,2025-02-18T23:45:22.000Z,https://data.texas.gov/dataset/Texas-South-Region-Original-Land-Survey-Polygons/ugt2-g8xm
ur79-6ymc,PY22 CACFP Center Sponsors List,Contracting EntityCESponsor -level contact information for CACFP participants approved and non-terminated for Program Year 2021-2022 PY22,2022-08-12T20:47:13.000Z,2023-06-20T19:05:36.000Z,https://data.texas.gov/dataset/PY22-CACFP-Center-Sponsors-List/ur79-6ymc
txmx-ceda,CCI 4.1 Abuse/Neglect Day Care Investigations (DCI) FY 2015-2024,"Contains information about abuseneglect related investigations that were closed by Day Care Investigations staff during the specified timeframe. 1. Child Care Investigations CCI, which is a part of CPI and includes Day Care Investigations DCI and Residential Child Care Investigations RCCI, conduct investigations of abuse and neglect. After the investigation is complete, the investigation is assigned to Child Care Regulation CCR with HHSC, where the investigation is assessed for deficiencies of minimum standards. 2. The number of unregulated operation investigations is calculated using the operations application date that is after the date of the intake. 3. Exemption requests are submitted to CCR to determine if their operation is subject to regulation. 4. In Fiscal Year 2011, all Licensed Child Care Centers LCCCs were divided into one of the following care types Before and After School Program BAP, School-Age Program SAP, or Child Care Program CCL. Any LCCCs with No Care Type after Fiscal Year 2010 are operations that were placed on adverse action prior to 09012010, and a new permit was not issued for the specified care type. 5. Abuse and neglect investigations cannot be closed until they have been reviewed and approved by the appropriate CCI staff. 6. The dashboard addresses Texas Family Code Section 264.017c .",2017-06-05T21:17:53.000Z,2025-01-29T20:57:54.000Z,https://data.texas.gov/dataset/CCI-4-1-Abuse-Neglect-Day-Care-Investigations-DCI-/txmx-ceda
3zgx-pigb,2022 SSP - DIR Program Support,The plan identifies technology goals for state government over the next five years and guides agencies as they develop their agency strategic plans.,2021-10-29T17:17:37.000Z,2021-10-29T20:39:12.291Z,https://data.texas.gov/stories/s/3zgx-pigb
xfck-ysny,Revenue Category Numbers and Titles,This lists the broad categories of revenue by 2-digit code and corresponding title. Revenue Comptroller Objects are consolidated under these categories for presentation on Where-the-Money-Comes-From and the Texas Cash Report.,2018-12-05T16:44:30.000Z,2020-06-26T23:46:09.000Z,https://data.texas.gov/Government-and-Taxes/Revenue-Category-Numbers-and-Titles/xfck-ysny
8scy-6cdy,OCDO Internship,,2021-03-30T14:39:38.000Z,2021-04-22T03:16:38.694Z,https://data.texas.gov/stories/s/8scy-6cdy
